id,brand,categories,ingredients,manufacturer,manufacturerNumber,name,text_corpus
20,Crown Prince,"Food,Grocery","whole oysters,water,salt.",Crown Prince,352,Whole Oysters,"This product is a Whole Oysters from the brand Crown Prince. It falls under the category of food,grocery and contains ingredients such as whole oysters,water,salt.. It is manufactured by crown prince (manufacturer code: 352)."
21,Badia,"Food,Grocery","salt,sugar,spices,including paprika,tumeric,onion,corn starch,garlic,tricalcium phosphate (prevents caking),paprika oleoresin (for color),and natural flavor.",Badia Spices Co.,3384400599,Seasoned Salt,"This product is a Seasoned Salt from the brand Badia. It falls under the category of food,grocery and contains ingredients such as salt,sugar,spices,including paprika,tumeric,onion,corn starch,garlic,tricalcium phosphate (prevents caking),paprika oleoresin (for color),and natural flavor.. It is manufactured by badia spices co. (manufacturer code: 3384400599)."
22,Blue Diamond,"Food,Grocery","almonds,sugar,cocoa powder (processed with alkali),corn maltodextrin,natural flavor (dark chocolate),sea salt and rebiana (stevia extract),.",Blue Diamond Growers,85515,"Blue Diamond Dark Chocolate Almonds, 8 Oz (Pack Of 6)","This product is a Blue Diamond Dark Chocolate Almonds, 8 Oz (Pack Of 6) from the brand Blue Diamond. It falls under the category of food,grocery and contains ingredients such as almonds,sugar,cocoa powder (processed with alkali),corn maltodextrin,natural flavor (dark chocolate),sea salt and rebiana (stevia extract),.. It is manufactured by blue diamond growers (manufacturer code: 85515)."
23,Williams,"Food,Grocery","enriched flour (bleached wheat flour, malted barley flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid),salt,spices and color,dehydrated onion and garlic,natural flavor.",Williams,231423,"Williams Spicy Wings, 5 Oz (Pack Of 6)","This product is a Williams Spicy Wings, 5 Oz (Pack Of 6) from the brand Williams. It falls under the category of food,grocery and contains ingredients such as enriched flour (bleached wheat flour, malted barley flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid),salt,spices and color,dehydrated onion and garlic,natural flavor.. It is manufactured by williams (manufacturer code: 231423)."
24,Bionaturae,"Food,Grocery","organic wild berries (organic blackberries, organic strawberries, organic bilberries, organic raspberries),organic apple juice concentrate,natural fruit pectin,ascorbic acid.",Bionaturae,959791,Bionaturae Organic Wild Berry Fruit Spread 9 Oz,"This product is a Bionaturae Organic Wild Berry Fruit Spread 9 Oz from the brand Bionaturae. It falls under the category of food,grocery and contains ingredients such as organic wild berries (organic blackberries, organic strawberries, organic bilberries, organic raspberries),organic apple juice concentrate,natural fruit pectin,ascorbic acid.. It is manufactured by bionaturae (manufacturer code: 959791)."
25,Lay's,"Food,Grocery","maltodextrin,salt,monosodium glutamate,dehydrated garlic,onion powder,dehydrated onion,dehydrated parsley,partially hydrogenated soybean oil and cottonseed oil,spice,modified food starch,dextrose,lactic acid,carrageenan,and artificial color. contains a milk ingredient.",Frito Lay,2840003503,"Lay'S Dip Creations Country Ranch Seasoning Mix, 1 Oz","This product is a Lay'S Dip Creations Country Ranch Seasoning Mix, 1 Oz from the brand Lay's. It falls under the category of food,grocery and contains ingredients such as maltodextrin,salt,monosodium glutamate,dehydrated garlic,onion powder,dehydrated onion,dehydrated parsley,partially hydrogenated soybean oil and cottonseed oil,spice,modified food starch,dextrose,lactic acid,carrageenan,and artificial color. contains a milk ingredient.. It is manufactured by frito lay (manufacturer code: 2840003503)."
26,Maggi,"Food,Grocery","salt,cornstarch,monosodium glutamate,sugar,partially hydrogenated palm oil,garlic powder,onion powder,and less than 2 of dehydrated chicken**,turmeric spices,chicken fat**,disodium inosinate,natural flavor. **adds trivial amounts of cholesterol.",Nestle,21319,"Maggi Chicken Flavor Bouillon, 3.5 Oz","This product is a Maggi Chicken Flavor Bouillon, 3.5 Oz from the brand Maggi. It falls under the category of food,grocery and contains ingredients such as salt,cornstarch,monosodium glutamate,sugar,partially hydrogenated palm oil,garlic powder,onion powder,and less than 2 of dehydrated chicken**,turmeric spices,chicken fat**,disodium inosinate,natural flavor. **adds trivial amounts of cholesterol.. It is manufactured by nestle (manufacturer code: 21319)."
27,Polaner,"Food,Grocery","water*,orange peel**,maltodextrin* (dietary fiber),polydextrose*,fruit pectin,locust bean gum*,citric acid,natural flavor*,sucrolose* (splenda brand),potassium sorbate and sodium benzoate (to preserve freshness),calcium chloride*,yellow #6*. *not in regular preserves. **adds a trivial amount of sugar.","B&G Foods, Inc.",664,"Polaner Sugar Free Orange Marmalade, 13.5 Oz","This product is a Polaner Sugar Free Orange Marmalade, 13.5 Oz from the brand Polaner. It falls under the category of food,grocery and contains ingredients such as water*,orange peel**,maltodextrin* (dietary fiber),polydextrose*,fruit pectin,locust bean gum*,citric acid,natural flavor*,sucrolose* (splenda brand),potassium sorbate and sodium benzoate (to preserve freshness),calcium chloride*,yellow #6*. *not in regular preserves. **adds a trivial amount of sugar.. It is manufactured by b&g foods, inc. (manufacturer code: 664)."
28,Simply Asia,"Food,grocery","brown sugar,sea salt,garlic,spices (including red pepper),sugar,onion,toasted sesame seed,red bell pepper,natural flavor (including smoke),green onion,silicon dioxide and calcium stearate (to make free-flowing),caramel color,and soy sauce (wheat, soybean, salt),. contains: soy and wheat.","Simply Asia Foods, LLC",MCLANE500750588,Simply Asiaï¿½Ï¿½ Sweet & Smoky Hibachi Seasoning 3.12 Oz. Bottle,"This product is a Simply Asiaï¿½Ï¿½ Sweet & Smoky Hibachi Seasoning 3.12 Oz. Bottle from the brand Simply Asia. It falls under the category of food,grocery and contains ingredients such as brown sugar,sea salt,garlic,spices (including red pepper),sugar,onion,toasted sesame seed,red bell pepper,natural flavor (including smoke),green onion,silicon dioxide and calcium stearate (to make free-flowing),caramel color,and soy sauce (wheat, soybean, salt),. contains: soy and wheat.. It is manufactured by simply asia foods, llc (manufacturer code: mclane500750588)."
29,Coffee-Mate,"Fresh Food,Food,grocery","water,sugar,coconut oil,sodium caseinate (a milk derivative),**,artificial and natural flavors,dipotassium phosphate,mono- and diglycerides,**not a source of lactose.",Coffee,11002025,Nestlï¿½Ï¿½ Coffee-Mate Cinnamon Vanilla Creme Coffee Creamer 180-0.375 Fl. Oz. Tubs,"This product is a Nestlï¿½Ï¿½ Coffee-Mate Cinnamon Vanilla Creme Coffee Creamer 180-0.375 Fl. Oz. Tubs from the brand Coffee-Mate. It falls under the category of fresh food,food,grocery and contains ingredients such as water,sugar,coconut oil,sodium caseinate (a milk derivative),**,artificial and natural flavors,dipotassium phosphate,mono- and diglycerides,**not a source of lactose.. It is manufactured by coffee (manufacturer code: 11002025)."
30,Simply Organic,"Grocery & Gourmet Food,Food","sea salt, organic garlic, organic onion, organic black pepper, organic oregano, organic bay, organic turmeric.,sea salt,organic garlic,organic onion,organic black pepper,organic oregano,organic bay,organic turmeric.",Frontier Natural Products CO-OP,1214964,Simply Organic Seasoning,"This product is a Simply Organic Seasoning from the brand Simply Organic. It falls under the category of grocery & gourmet food,food and contains ingredients such as sea salt, organic garlic, organic onion, organic black pepper, organic oregano, organic bay, organic turmeric.,sea salt,organic garlic,organic onion,organic black pepper,organic oregano,organic bay,organic turmeric.. It is manufactured by frontier natural products co-op (manufacturer code: 1214964)."
